"ï»¿""burpVersion""",exportTime,issue__serialNumber,issue__type,issue__name,issue__host__ip,issue__host__#Text,issue__path,issue__location,issue__severity,issue__confidence,issue__issueBackground,issue__remediationBackground,issue__references,issue__vulnerabilityClassifications,issue__issueDetail,issue__issueDetailItems__issueDetailItem,issue__dynamicAnalysis__source,issue__dynamicAnalysis__sink,issue__dynamicAnalysis__sourceStackTrace,issue__dynamicAnalysis__sinkStackTrace,issue__dynamicAnalysis__eventListenerStackTrace,issue__dynamicAnalysis__sourceValue,issue__dynamicAnalysis__sinkValue,issue__dynamicAnalysis__eventHandlerData,issue__dynamicAnalysis__eventHandlerDataType,issue__dynamicAnalysis__eventHandlerManipulatedData,issue__dynamicAnalysis__poc,issue__dynamicAnalysis__origin,issue__dynamicAnalysis__isOriginChecked,issue__dynamicAnalysis__sourceElementId,issue__dynamicAnalysis__sourceElementName,issue__dynamicAnalysis__eventFiredEventName,issue__dynamicAnalysis__eventFiredElementId,issue__dynamicAnalysis__eventFiredElementName,issue__dynamicAnalysis__eventFiredOuterHtml,issue__collaboratorEvent__interactionType,issue__collaboratorEvent__originIp,issue__collaboratorEvent__time,issue__collaboratorEvent__lookupType,issue__collaboratorEvent__lookupHost
2022.2.4,Fri Apr 01 16:09:12 ICT 2022,6.99936E+18,4194592,User agent-dependent response,10.150.1.21,https://10.150.1.21:30000,/robots.txt,/robots.txt,Information,Firm,"<p>Application responses may depend systematically on the value of the User-Agent header in requests. This behavior does not itself constitute a security vulnerability, but may point towards additional attack surface within the application, which may contain vulnerabilities.</p>\n<p>This behavior often arises because applications provide different user interfaces for desktop and mobile users. Mobile interfaces have often been less thoroughly tested for vulnerabilities such as cross-site scripting, and often have simpler authentication and session handling mechanisms that may contain problems that are not present in the full interface.</p>\n<p>To review the interface provided by the alternate User-Agent header, you can configure a match/replace rule in Burp Proxy to modify the User-Agent header in all requests, and then browse the application in the normal way using your normal browser. </p>",,,"<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/16.html"">CWE-16: Configuration</a></li>\n</ul>",,,,,,,,,,,,,,,,,,,,,,,,,,
,,5.79728E+18,3146240,External service interaction (DNS),10.150.1.21,http://10.150.1.21:30000,/robots.txt,/robots.txt,High,Certain,"<p>External service interaction arises when it is possible to induce an application to interact with an arbitrary external service, such as a web or mail server. The ability to trigger arbitrary external service interactions does not constitute a vulnerability in its own right, and in some cases might even be the intended behavior of the application.\nHowever, in many cases, it can indicate a vulnerability with serious consequences.</p>\n<p>In cases where DNS-based interactions can be triggered, it is normally possible to trigger interactions using other service types, and these are reported as separate issues. \n  If a payload that specifies a particular service type (e.g. a URL) triggers only a DNS-based interaction, \n  then this strongly indicates that the application attempted to connect using that other service, \n  but was prevented from doing so by egress filters in place at the network layer. The ability to send requests to other systems can allow the vulnerable server to be used as an attack proxy.\n  By submitting suitable payloads, an attacker can cause the application server to attack other systems that it can interact with. \n  This may include public third-party systems, internal systems within the same organization, or services available on the local loopback adapter of the application server itself. \n  Depending on the network architecture, this may expose highly vulnerable internal services that are not otherwise accessible to external attackers. </p>","<p>You should review the purpose and intended use of the relevant application functionality, \n  and determine whether the ability to trigger arbitrary external service interactions is intended behavior. \n  If so, you should be aware of the types of attacks that can be performed via this behavior and take appropriate measures. \n  These measures might include blocking network access from the application server to other internal systems, and hardening the application server itself to remove any services available on the local loopback adapter.</p>\n<p>If the ability to trigger arbitrary external service interactions is not intended behavior, then you should implement a whitelist of permitted services and hosts, and block any interactions that do not appear on this whitelist.</p>\n\n<p>Out-of-Band Application Security Testing (OAST) is highly effective at uncovering high-risk features, to the point where finding the root cause of an interaction can be quite challenging. To find the source of an external service interaction, try to identify whether it is triggered by specific application functionality, or occurs indiscriminately on all requests. If it occurs on all endpoints, a front-end CDN or application firewall may be responsible, or a back-end analytics system parsing server logs. In some cases, interactions may originate from third-party systems; for example, a HTTP request may trigger a poisoned email which passes through a link-scanner on its way to the recipient.</p>","<ul>\n  <li><a href=""https://portswigger.net/blog/introducing-burp-collaborator"">Burp Collaborator</a></li>\n <li><a href=""https://portswigger.net/burp/application-security-testing/oast"">Out-of-band application security testing (OAST)</a></li>\n  <li><a href=""https://portswigger.net/research/cracking-the-lens-targeting-https-hidden-attack-surface"">PortSwigger Research: Cracking the Lens</a></li>\n</ul>","<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/918.html"">CWE-918: Server-Side Request Forgery (SSRF)</a></li>\n<li><a href=""https://cwe.mitre.org/data/definitions/406.html"">CWE-406: Insufficient Control of Network Message Volume (Network Amplification)</a></li>\n</ul>",It is possible to induce the application to perform server-side DNS lookups of arbitrary domain names.<br><br>The payload <b>f3j11bkk0pzxtug43nbizcp5iwopcl0fu3kqaez.burpcollaborator.net</b> was submitted in the HTTP Host header.<br><br>The application performed a DNS lookup of the specified domain.,,,,,,,,,,,,,,,,,,,,,DNS,54.179.114.1,2022-Apr-01 03:42:47 UTC,A,f3j11bkk0pzxtug43nbizcp5iwopcl0fu3kqaez.burpcollaborator.net
,,8.74265E+18,3146240,External service interaction (DNS),10.150.1.21,http://10.150.1.21:30000,/,/,High,Certain,"<p>External service interaction arises when it is possible to induce an application to interact with an arbitrary external service, such as a web or mail server. The ability to trigger arbitrary external service interactions does not constitute a vulnerability in its own right, and in some cases might even be the intended behavior of the application.\nHowever, in many cases, it can indicate a vulnerability with serious consequences.</p>\n<p>In cases where DNS-based interactions can be triggered, it is normally possible to trigger interactions using other service types, and these are reported as separate issues. \n  If a payload that specifies a particular service type (e.g. a URL) triggers only a DNS-based interaction, \n  then this strongly indicates that the application attempted to connect using that other service, \n  but was prevented from doing so by egress filters in place at the network layer. The ability to send requests to other systems can allow the vulnerable server to be used as an attack proxy.\n  By submitting suitable payloads, an attacker can cause the application server to attack other systems that it can interact with. \n  This may include public third-party systems, internal systems within the same organization, or services available on the local loopback adapter of the application server itself. \n  Depending on the network architecture, this may expose highly vulnerable internal services that are not otherwise accessible to external attackers. </p>","<p>You should review the purpose and intended use of the relevant application functionality, \n  and determine whether the ability to trigger arbitrary external service interactions is intended behavior. \n  If so, you should be aware of the types of attacks that can be performed via this behavior and take appropriate measures. \n  These measures might include blocking network access from the application server to other internal systems, and hardening the application server itself to remove any services available on the local loopback adapter.</p>\n<p>If the ability to trigger arbitrary external service interactions is not intended behavior, then you should implement a whitelist of permitted services and hosts, and block any interactions that do not appear on this whitelist.</p>\n\n<p>Out-of-Band Application Security Testing (OAST) is highly effective at uncovering high-risk features, to the point where finding the root cause of an interaction can be quite challenging. To find the source of an external service interaction, try to identify whether it is triggered by specific application functionality, or occurs indiscriminately on all requests. If it occurs on all endpoints, a front-end CDN or application firewall may be responsible, or a back-end analytics system parsing server logs. In some cases, interactions may originate from third-party systems; for example, a HTTP request may trigger a poisoned email which passes through a link-scanner on its way to the recipient.</p>","<ul>\n  <li><a href=""https://portswigger.net/blog/introducing-burp-collaborator"">Burp Collaborator</a></li>\n <li><a href=""https://portswigger.net/burp/application-security-testing/oast"">Out-of-band application security testing (OAST)</a></li>\n  <li><a href=""https://portswigger.net/research/cracking-the-lens-targeting-https-hidden-attack-surface"">PortSwigger Research: Cracking the Lens</a></li>\n</ul>","<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/918.html"">CWE-918: Server-Side Request Forgery (SSRF)</a></li>\n<li><a href=""https://cwe.mitre.org/data/definitions/406.html"">CWE-406: Insufficient Control of Network Message Volume (Network Amplification)</a></li>\n</ul>",It is possible to induce the application to perform server-side DNS lookups of arbitrary domain names.<br><br>The payload <b>2cfoayt79c8k2hprcak58zysrjxcl39x3lt8jw8.burpcollaborator.net</b> was submitted in the HTTP Host header.<br><br>The application performed a DNS lookup of the specified domain.,,,,,,,,,,,,,,,,,,,,,DNS,54.179.114.1,2022-Apr-01 03:42:43 UTC,A,2cfoayt79c8k2hprcak58zysrjxcl39x3lt8jw8.burpcollaborator.net
,,2.09312E+18,3146240,External service interaction (DNS),10.150.1.21,http://10.150.1.21:30000,/,/,High,Certain,"<p>External service interaction arises when it is possible to induce an application to interact with an arbitrary external service, such as a web or mail server. The ability to trigger arbitrary external service interactions does not constitute a vulnerability in its own right, and in some cases might even be the intended behavior of the application.\nHowever, in many cases, it can indicate a vulnerability with serious consequences.</p>\n<p>In cases where DNS-based interactions can be triggered, it is normally possible to trigger interactions using other service types, and these are reported as separate issues. \n  If a payload that specifies a particular service type (e.g. a URL) triggers only a DNS-based interaction, \n  then this strongly indicates that the application attempted to connect using that other service, \n  but was prevented from doing so by egress filters in place at the network layer. The ability to send requests to other systems can allow the vulnerable server to be used as an attack proxy.\n  By submitting suitable payloads, an attacker can cause the application server to attack other systems that it can interact with. \n  This may include public third-party systems, internal systems within the same organization, or services available on the local loopback adapter of the application server itself. \n  Depending on the network architecture, this may expose highly vulnerable internal services that are not otherwise accessible to external attackers. </p>","<p>You should review the purpose and intended use of the relevant application functionality, \n  and determine whether the ability to trigger arbitrary external service interactions is intended behavior. \n  If so, you should be aware of the types of attacks that can be performed via this behavior and take appropriate measures. \n  These measures might include blocking network access from the application server to other internal systems, and hardening the application server itself to remove any services available on the local loopback adapter.</p>\n<p>If the ability to trigger arbitrary external service interactions is not intended behavior, then you should implement a whitelist of permitted services and hosts, and block any interactions that do not appear on this whitelist.</p>\n\n<p>Out-of-Band Application Security Testing (OAST) is highly effective at uncovering high-risk features, to the point where finding the root cause of an interaction can be quite challenging. To find the source of an external service interaction, try to identify whether it is triggered by specific application functionality, or occurs indiscriminately on all requests. If it occurs on all endpoints, a front-end CDN or application firewall may be responsible, or a back-end analytics system parsing server logs. In some cases, interactions may originate from third-party systems; for example, a HTTP request may trigger a poisoned email which passes through a link-scanner on its way to the recipient.</p>","<ul>\n  <li><a href=""https://portswigger.net/blog/introducing-burp-collaborator"">Burp Collaborator</a></li>\n <li><a href=""https://portswigger.net/burp/application-security-testing/oast"">Out-of-band application security testing (OAST)</a></li>\n  <li><a href=""https://portswigger.net/research/cracking-the-lens-targeting-https-hidden-attack-surface"">PortSwigger Research: Cracking the Lens</a></li>\n</ul>","<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/918.html"">CWE-918: Server-Side Request Forgery (SSRF)</a></li>\n<li><a href=""https://cwe.mitre.org/data/definitions/406.html"">CWE-406: Insufficient Control of Network Message Volume (Network Amplification)</a></li>\n</ul>",It is possible to induce the application to perform server-side DNS lookups of arbitrary domain names.<br><br>The payload <b>http://615sz2ibygxorlev1e99x3nwgnmga7yz2nsaiy7.burpcollaborator.net/</b> was submitted in the HTTP Request-Line.<br><br>The application performed a DNS lookup of the specified domain.,,,,,,,,,,,,,,,,,,,,,DNS,54.179.114.1,2022-Apr-01 03:42:42 UTC,A,615sz2ibygxorlev1e99x3nwgnmga7yz2nsaiy7.burpcollaborator.net
,,1.69548E+18,4194592,User agent-dependent response,10.150.1.21,http://10.150.1.21:30000,/robots.txt,/robots.txt,Information,Firm,"<p>Application responses may depend systematically on the value of the User-Agent header in requests. This behavior does not itself constitute a security vulnerability, but may point towards additional attack surface within the application, which may contain vulnerabilities.</p>\n<p>This behavior often arises because applications provide different user interfaces for desktop and mobile users. Mobile interfaces have often been less thoroughly tested for vulnerabilities such as cross-site scripting, and often have simpler authentication and session handling mechanisms that may contain problems that are not present in the full interface.</p>\n<p>To review the interface provided by the alternate User-Agent header, you can configure a match/replace rule in Burp Proxy to modify the User-Agent header in all requests, and then browse the application in the normal way using your normal browser. </p>",,,"<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/16.html"">CWE-16: Configuration</a></li>\n</ul>",,,,,,,,,,,,,,,,,,,,,,,,,,
,,7.80798E+18,4194592,User agent-dependent response,10.150.1.21,http://10.150.1.21:30000,/,/,Information,Firm,"<p>Application responses may depend systematically on the value of the User-Agent header in requests. This behavior does not itself constitute a security vulnerability, but may point towards additional attack surface within the application, which may contain vulnerabilities.</p>\n<p>This behavior often arises because applications provide different user interfaces for desktop and mobile users. Mobile interfaces have often been less thoroughly tested for vulnerabilities such as cross-site scripting, and often have simpler authentication and session handling mechanisms that may contain problems that are not present in the full interface.</p>\n<p>To review the interface provided by the alternate User-Agent header, you can configure a match/replace rule in Burp Proxy to modify the User-Agent header in all requests, and then browse the application in the normal way using your normal browser. </p>",,,"<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/16.html"">CWE-16: Configuration</a></li>\n</ul>",,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.50491E+17,5247488,DOM data manipulation (DOM-based),10.150.1.21,https://10.150.1.21:30000,/,/,Information,Firm,"<p>DOM-based vulnerabilities arise when a client-side script reads data from a controllable part of the DOM (for example, the URL) and processes this data in an unsafe way.</p>\n<p>DOM data manipulation arises when a script writes controllable data to a field within the DOM that is used within the visible UI or client-side application logic. An attacker may be able to use the vulnerability to construct a URL that, if visited by another application user, will modify the appearance or behavior of the client-side UI. An attacker may be able to leverage this to perform virtual defacement of the application, or possibly to induce the user to perform unintended actions. </p>\n\n<p>Burp Suite automatically identifies this issue using static code analysis, which may lead to false positives that are not actually exploitable. The relevant code and execution paths should be reviewed to determine whether this vulnerability is indeed present, or whether mitigations are in place that would prevent exploitation.</p>","<p>The most effective way to avoid DOM-based DOM data manipulation vulnerabilities is not to dynamically write to DOM data fields any data that originated from any untrusted source. If the desired functionality of the application means that this behavior is unavoidable, then defenses must be implemented within the client-side code to prevent malicious data from being stored. In general, this is best achieved by using a whitelist of permitted values.</p>","<ul>\n    <li><a href=""https://portswigger.net/web-security/dom-based/dom-data-manipulation"">Web Security Academy: DOM data manipulation</a></li>\n</ul>","<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/20.html"">CWE-20: Improper Input Validation</a></li>\n    <li><a href=""https://capec.mitre.org/data/definitions/153.html"">CAPEC-153: Input Data Manipulation</a></li>\n</ul>",The application may be vulnerable to DOM-based DOM data manipulation. Data is read from <b>location.href</b> and passed to <b>history.replaceState</b>.,,location.href,history.replaceState,at Object._0x33d7c2 [as proxiedGetterCallback] (<anonymous>:1:588475)\nat Object.get href [as href] (<anonymous>:1:298487)\nat se (https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:51496)\nat t.setupListeners (https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:58953)\nat r (https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:62003)\nat https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:55743\nat c (https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:55988)\nat https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:56617\nat https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:53685\nat https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:54231,at Object.LufnJ (<anonymous>:1:572448)\nat History.replaceState (<anonymous>:1:580746)\nat se (https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:51570)\nat t.setupListeners (https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:58953)\nat r (https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:62003)\nat https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:55743\nat c (https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:55988)\nat https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:56617\nat https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:53685\nat https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:54231,,"?flk80hruir=flk80hruir%27%22`'""/flk80hruir/><flk80hruir/\>jn02y1wcfn&","?flk80hruir=flk80hruir%27%22`'""/flk80hruir/><flk80hruir/\>jn02y1wcfn&",,,,,,FALSE,,,,,,,,,,,
,,5.71445E+18,5247488,DOM data manipulation (DOM-based),10.150.1.21,https://10.150.1.21:30000,/,/,Information,Firm,"<p>DOM-based vulnerabilities arise when a client-side script reads data from a controllable part of the DOM (for example, the URL) and processes this data in an unsafe way.</p>\n<p>DOM data manipulation arises when a script writes controllable data to a field within the DOM that is used within the visible UI or client-side application logic. An attacker may be able to use the vulnerability to construct a URL that, if visited by another application user, will modify the appearance or behavior of the client-side UI. An attacker may be able to leverage this to perform virtual defacement of the application, or possibly to induce the user to perform unintended actions. </p>\n\n<p>Burp Suite automatically identifies this issue using static code analysis, which may lead to false positives that are not actually exploitable. The relevant code and execution paths should be reviewed to determine whether this vulnerability is indeed present, or whether mitigations are in place that would prevent exploitation.</p>","<p>The most effective way to avoid DOM-based DOM data manipulation vulnerabilities is not to dynamically write to DOM data fields any data that originated from any untrusted source. If the desired functionality of the application means that this behavior is unavoidable, then defenses must be implemented within the client-side code to prevent malicious data from being stored. In general, this is best achieved by using a whitelist of permitted values.</p>","<ul>\n    <li><a href=""https://portswigger.net/web-security/dom-based/dom-data-manipulation"">Web Security Academy: DOM data manipulation</a></li>\n</ul>","<ul>\n<li><a href=""https://cwe.mitre.org/data/definitions/20.html"">CWE-20: Improper Input Validation</a></li>\n    <li><a href=""https://capec.mitre.org/data/definitions/153.html"">CAPEC-153: Input Data Manipulation</a></li>\n</ul>",The application may be vulnerable to DOM-based DOM data manipulation. Data is read from <b>location.href</b> and passed to <b>history.pushState</b>.,,location.href,history.pushState,at Object._0x33d7c2 [as proxiedGetterCallback] (<anonymous>:1:588475)\nat Object.get href [as href] (<anonymous>:1:298487)\nat je (https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:59949)\nat Ee (https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:60026)\nat t.ensureURL (https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:59526)\nat https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:56603\nat https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:53685\nat https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:54231,at Object.mbeLh (<anonymous>:1:178892)\nat Object.fnjVf (<anonymous>:1:572108)\nat Object.avWyP (<anonymous>:1:578438)\nat History.pushState (<anonymous>:1:579005)\nat ge (https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:53076)\nat Ee (https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:60023)\nat t.ensureURL (https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:59526)\nat https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:56603\nat https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:53685\nat https://10.150.1.21:30000/static/js/vendor.745942ec746e329ee98b.js:1:54231,,"?n8xzwt2pr8=n8xzwt2pr8%27%22`'""/n8xzwt2pr8/><n8xzwt2pr8/\>e9bt5sweys&","?n8xzwt2pr8=n8xzwt2pr8%27%22`'""/n8xzwt2pr8/><n8xzwt2pr8/\>e9bt5sweys&#/",,,,,,FALSE,,,,,,,,,,,
